Vendor,Category,City,Phone,Email,Description,Google Maps,IG
Traiteur El Amane,Caterer,Fes,212661491997,,,"14 lot atef magasin n 4 a cote de la clinique razi, Ville Nouvelle, Fès, Morocco 30000",https://www.instagram.com/elamanetraiteur/
Dar Makhtara,Venue,Fes,212697539465,info.darmakhtara@gmail.com,"Dar Makhtara est la salle de fête idéale pour recevoir vos convives sur Meknès. Notre salle polyvalente et climatisée vous permettra d´organiser votre réception dans un cadre traditionnel et moderne, en vous laissant le choix du thème ou de l’ambiance qui vous fait envie. ​ Toute la propriété est entourée d'un jardin calme et convivial qui s’anime autour de la fontaine. ​ La capacité conseillée est de 10 à 220 personnes assises et 250 personnes pour un cocktail.","43 Boulevard Essaadiyine, Meknes 50000",https://www.instagram.com/darmakhtara/
Traiteur Maison Makhtara,Caterer,Meknes,2126 97 53 94 65,info.darmakhtara@gmail.com,,"43 boulevard essaadiyine, Meknes 50000",https://www.instagram.com/traiteurmakhtara/
Loom Events,Event Planner,Meknes,2126 97 53 94 65,,,,https://www.instagram.com/loomevents/
Maison bel,Caterer,Meknes,212620041435,Traiteur.maisonbel@gmail.com,,,https://www.instagram.com/traiteur.maisonbel/
Noha Events,Event Planner,Casablanca,21264489482,,,,https://www.instagram.com/noha_event/
SYM’S Fantasy,Caterer,Marrakech,2126 34 08 94 91,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0xdafed27ce02d3a7:0x343ac74315ff7403?entry=s&sa=X&ved=2ahUKEwjbr67EtMuCAxW_dqQEHZG3C-cQ4kB6BAgHEAA&fbclid=PAZXh0bgNhZW0CMTEAAaf01a_QL1LCqqShYyx6wgz9MTMcQhU_Rvvj9hVbEqnaaaZHrAQUQHkBBqz8mg_aem_ot5G02eo_vVTVN4i60o3Mg,https://www.instagram.com/syms_fantasy_traiteur/
Les Deux Cloches,Event Planner,Marrakech,212 6 08 44 95 13,,,,https://www.instagram.com/lesdeuxcloches.events/
Afrah Morchide,Event Planner,Marrakech,212608200602,,,,https://www.instagram.com/afrah_morchide/
Traiteur Samira Aitlhaj,Caterer,Marrakech,2126 18 57 24 46,,,Quartier boumasmae - Marrakech,https://www.instagram.com/traiteursamiraaitlhaj/
Douceurs Gourmandes,Decor,Marrakech,212 649 938449,,,,https://www.instagram.com/douceursgourmandesmarrakech/
Exceptional Moment,Caterer,Marrakech,212 6 50 87 15 18, contact@exceptionalmoment.com,,,https://www.instagram.com/exceptional_moment_/
Viamo Event,Event Planner,Marrakech,06 26869509 ,Contact@viamoevent.com,,,https://www.instagram.com/viamo_event/
V palmiers traiteur,Caterer,Casablanca,06 78 43 07 61,,,"https://www.google.com/maps?q=33.542542,-7.610294",https://www.instagram.com/v.palmiers.traiteur/
La fête ,Dresses,Marrakech,06 60569745,,,Quartier Sofia TARGA,https://www.instagram.com/lafete_luxurycaftan_/
D’art in,Caterer,Marrakech,07 07797655,,,,https://www.instagram.com/dartinmarrakech/
Weboho,Event Planner,Rabat,06 61-682529,,,,https://www.instagram.com/weboho.events/
Dentelle et Soie,Dresses,Casablanca,06 91525225,,,,https://www.instagram.com/dentelle.et.soie/
Reda Yammad,Caterer,Casablanca,06 65436664,,,,https://www.instagram.com/reda.weddingart/
Bensaih wedding planner,Caterer,Casablanca,06 20385724,,,"bd yacoub mansour, Casablanca",https://www.instagram.com/bensaih_weddingplanner/
Sbai Traiteur,Caterer,Marrakech, 06 61534443,,,"ryad arfoud 8 rue Almozdalifa,Marrakech",https://www.instagram.com/sbaitraiteur/
Monsif Event Traiteur,Caterer,Casablanca,06 63 63 88 97,monsifevent@gmail.com,,,https://www.instagram.com/monsif.event/
traiteur Maison H,Caterer,Fes,06 52891549,,Votre traiteur Maison-H est toujour à votre disposition pour célébrer tous vos événements avec un très bon rapport.,https://maps.app.goo.gl/tXAyLA9CXXNYBgvdA,https://www.instagram.com/traiteur_maison_h/
La Rose,Event Planner,Meknes,06 68162674,,,"la rose de Meknes(chez abderrahim), Meknes 50000",https://www.instagram.com/la_rose_de_meknes
Negafa jihane,Negafa,Meknes,06 93188330,,,,https://www.instagram.com/negafa_jihane_
Salle de fête Billionaire,Venue,Fes,06 61060039,,"Salle des fêtes pour vos meetings, mariages, congrès, réunions","Route dimmozzer avant golf royal, Medina, Fès, Morocco 30000",https://www.instagram.com/salle_des_fete_billionaire/
Salle des fêtes Marwa,Venue,Rabat,06 55 50 86 66,,Salle des fêtes Marwa pour les mariages et les événements,Ain Atiq,https://www.instagram.com/salle.des.fetes.marwa/
Salle Alwoud,Venue,Rabat,06 66 79 49 86,,"Al Woud, votre salle de fêtes pour mariages, anniversaires et soirées",https://maps.app.goo.gl/hQMcBZj6U2hJeGcu6,https://www.instagram.com/salle.alwoud/
Naciri Prod,Photographer,Rabat,06 44-004975‬,,Wedding | Graduation | Events,,https://www.instagram.com/naciriprod/
LABO PHOTO YASSINE,Photographer,Rabat,06 66351859,,Photographe 📸 marriage 🎥 shooting,Skhirat temara rabat Maroc,https://www.instagram.com/labophotoyassine/
